"Enseigne","Nombre d'établissement"
"STAM",2
"SPEED RABBIT PIZZA",2
"SPACE",2
"SOUCOUPE",2
"SOPRANO",2
"SOON",2
"SOMA",2
"SMASH BURGER",2
"SIZIN",2
"SHISO BURGER",2
"SHIKOKU",2
"SHAH",2
"SHABESTAN",2
"SEOUL MAMA",2
"SEASON",2
"SCHWARTZ'S HOTDOG",2
"SCHWARTZ'S DELI",2
"SAVEURS D'ASIE",2
"SAPPORO",2
"SANTA MONICA",2
"SALENTO",2
"SAKANAYA",2
"RURAL",2
"ROYAL BOMBAY",2
"ROMANTICA CAFFE",2
"ROLLS",2
"RIVOLTA",2
"RESTAURANT PHOU KHET",2
"RESTAURANT LA PAIX",2
"RESTAURANT ISTANBUL",2
"RENOMA CAFE GALERY",2
"RAYAN",2
"RAVIOLI NORD-EST",2
"RAPHAEL",2
"RANNOUCH",2
"RANIA",2
"RACINES",2
"QUI PLUME LA LUNE",2
"PUPETTA",2
"PORZIONE DI CAPRI",2
"POPINE",2
"POPEILLE",2
"PONDICHERY",2
"POK’N BUBBLE",2
"POKE LOVE",2
"POKE LA",2
"POKE BOWL",2
"POIVRON ROUGE",2
"PLAN B",2
"PIZZA ROMA",2
"PIZZA NAPOLETANA",2
"PIZZA MARIO",2
"PIZZA ET PASTA",2
"PIZZA DI ROMA",2
"PIZZA DI LORETTA",2
"PIZZA CENTER MILANO",2
"PIZZA CAPRI",2
"PITA TACOS",2
"PITA",2
"PINOCCHIO",2
"PINK FLAMINGO",2
"PICCOLO",2
"PIAZZO",2
"PHO BIDA",2
"PHO BANH CUON 14",2
"PHO 520",2
"PETROSSIAN",2
"PEPITA",2
"PENNY LANE",2
"PAUSE CAFE",2
"PATES THAI",2
"PARSLEY",2
"PARIS NEW YORK",2
"PARIS ISTANBUL",2
"PARIS HANOI",2
"PAPILLON",2
"PAPELLI",2
"PANDA GOURMET",2
"PANAME",2
"PALAIS D'ASIE",2
"PAD THAI",2
"OXYMORE",2
"ORIENT EXTREME",2
"ORGUEIL",2
"ONE WAY",2
"ONDO",2
"OMAR",2
"OKITO",2
"OKINAWA",2
"OISHI SUSHI",2
"OISHI",2
"ODETTE & CHARLUS",2
"ODETTE",2
"OCTAVE",2
"O'CHEEZ",2
"OAKBERRY",2
