"Code ISO_3","Numéro","Continent rattaché","State","État","Superficie 2007","Superficie 2012","Pop 2007","Pop 2008","Pop 2009","Pop 2010","Pop 2011","Pop 2012","Pop 2013","Pop 2014","Pop 2015","Pop 2016","Pop 2017","Pop 2018","Pop 2019","Pop 2020","Pop 2021","Pop 2022","Pop 2023","Pop 2024","Pop 2025","Pop 2026","Densité 2007","Densité 2008","Densité 2009","Densité 2010","Densité 2011","Densité 2012","Densité 2013","Densité 2014","Densité 2015","Densité 2016","Densité 2017","Densité 2018","Densité 2019","Densité 2020","Densité 2021","Densité 2022","Densité 2023","Densité 2024","Densité 2025","Densité 2026"
"prk",41,"Asie","North Korea","Corée du Nord",121000,121000,23100000,23300000,23500000,22700000,24000000,24500000,24600000,24700000,24700000,25000000,25300000,25400000,25600000,25700000,25700000,25800000,26100000,26100000,26400000,26500000,191,193,194,188,198,202,203,204,204,207,209,210,212,212,212,213,216,216,218,219
"kor",42,"Asie","South Korea","Corée du Sud",99000,99000,48500000,48500000,48600000,48700000,48500000,49000000,48600000,50200000,50200000,50700000,50500000,50700000,51200000,51200000,51300000,51300000,51800000,51800000,51700000,51600000,490,490,491,492,490,495,491,507,507,512,510,512,517,517,518,518,523,523,522,521
"cri",43,"Amérique","Costa Rica","Costa Rica",51000,51000,4300000,4500000,4500000,4500000,4600000,4700000,4800000,4700000,4700000,4800000,4800000,4900000,4900000,5000000,5000000,5100000,5200000,5200000,5100000,5100000,84,88,88,88,90,92,94,92,92,94,94,96,96,98,98,100,102,102,100,100
"civ",44,"Afrique","Cote d'Ivoire","Côte d'Ivoire",323000,323000,19700000,20200000,20700000,21400000,21600000,22600000,20600000,21100000,21100000,23300000,23300000,23800000,24900000,25700000,26400000,27000000,28200000,28800000,31900000,32700000,61,63,64,66,67,70,64,65,65,72,72,74,77,80,82,84,87,89,99,101
"hrv",45,"Europe","Croatia","Croatie",57000,57000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4300000,4300000,4200000,4200000,4200000,4200000,4100000,4200000,4000000,4000000,4000000,3800000,3800000,77,77,77,77,77,77,77,75,75,74,74,74,74,72,74,70,70,70,67,67
"cub",46,"Amérique","Cuba","Cuba",111000,111000,11300000,11200000,11200000,11200000,11200000,11200000,11200000,11300000,11300000,11100000,11400000,11400000,11500000,11300000,11300000,11300000,11200000,11200000,10900000,10900000,102,101,101,101,101,101,101,102,102,100,103,103,104,102,102,102,101,101,98,98
"dnk",47,"Europe","Denmark","Danemark",43000,43000,5400000,5500000,5500000,5500000,5500000,5600000,5600000,5600000,5600000,5700000,5700000,5700000,5700000,5800000,5800000,5800000,5900000,5900000,5900000,6000000,126,128,128,128,128,130,130,130,130,133,133,133,133,135,135,135,137,137,137,140
"dji",48,"Afrique","Djibouti","Djibouti",23000,23000,800000,800000,800000,900000,900000,900000,900000,900000,900000,900000,900000,911000,971000,1000000,1000000,1000000,1100000,1100000,1100000,1100000,35,35,35,39,39,39,39,39,39,39,39,40,42,43,43,43,48,48,48,48
"dma",49,"Amérique","Dominica","Dominique",49000,49000,,,,,,,,,10300000,70000,70000,70000,73543,73543,73543,72000,72000,72000,72500,72000,,,,,,,,,210,1,1,1,2,2,2,1,1,1,1,1
"egy",50,"Afrique","Egypt","Égypte",1003000,1003000,75400000,73400000,74900000,78600000,84500000,82600000,84000000,84700000,84700000,89100000,93400000,95200000,99400000,100400000,102300000,104500000,111000000,112700000,116500000,118300000,75,73,75,78,84,82,84,84,84,89,93,95,99,100,102,104,111,112,116,118
