"Code ISO_3","Numéro","Continent rattaché","State","État","Superficie 2007","Superficie 2012","Pop 2007","Pop 2008","Pop 2009","Pop 2010","Pop 2011","Pop 2012","Pop 2013","Pop 2014","Pop 2015","Pop 2016","Pop 2017","Pop 2018","Pop 2019","Pop 2020","Pop 2021","Pop 2022","Pop 2023","Pop 2024","Pop 2025","Pop 2026","Densité 2007","Densité 2008","Densité 2009","Densité 2010","Densité 2011","Densité 2012","Densité 2013","Densité 2014","Densité 2015","Densité 2016","Densité 2017","Densité 2018","Densité 2019","Densité 2020","Densité 2021","Densité 2022","Densité 2023","Densité 2024","Densité 2025","Densité 2026"
"tgo",181,"Afrique","Togo","Togo",57000,57000,6300000,6600000,6800000,6600000,6800000,5800000,6300000,6200000,6200000,7200000,7500000,7700000,8000000,8100000,8300000,8400000,8800000,9000000,9500000,9700000,111,116,119,116,119,102,111,109,109,126,132,135,140,142,146,147,154,158,167,170
"ton",182,"Océanie","Tonga","Tonga",700,700,,,,100000,100000,100000,100000,100000,100000,100000,107000,108000,109000,104000,106000,107000,107000,108000,104000,104000,,,,143,143,143,143,143,143,143,153,154,156,149,151,153,153,154,149,149
"tto",183,"Amérique","Trinidad and Tobago","Trinité-et-Tobago",5000,5000,1300000,1400000,1300000,1300000,1300000,1300000,1400000,1300000,1300000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1500000,1500000,1500000,1500000,260,280,260,260,260,260,280,260,260,280,280,280,280,280,280,280,300,300,300,300
"tun",184,"Afrique","Tunisia","Tunisie",164000,164000,10100000,10200000,10300000,10400000,10400000,10700000,10700000,10900000,10900000,11000000,11400000,11500000,11700000,11700000,11800000,11900000,12400000,12400000,12200000,12300000,62,62,63,63,63,65,65,66,66,67,70,70,71,71,72,73,76,76,74,75
"tkm",185,"Asie","Turkmenistan","Turkménistan",489000,489000,5300000,5400000,5200000,5100000,5200000,5100000,5200000,5200000,5200000,5400000,5400000,5500000,5800000,5900000,6000000,6100000,6400000,6500000,7400000,7600000,11,11,11,10,11,10,11,11,11,11,11,11,12,12,12,12,13,13,15,16
"tur",186,"Asie","Turkey","Turquie",776000,776000,73700000,74000000,74800000,74800000,75700000,74000000,74500000,76100000,76100000,78200000,79600000,80400000,82000000,83400000,84300000,85000000,85300000,85800000,87400000,87600000,95,95,96,96,98,95,96,98,98,101,103,104,106,107,109,110,110,111,113,113
"tuv",187,"Océanie","Tuvalu","Tuvalu",24,24,,,,,,,,10000,10000,10000,10000,10000,11000,11000,11600,11800,11800,11300,11300,10600,,,,,,,,417,417,417,417,417,458,458,483,492,492,471,471,442
"ukr",188,"Europe","Ukraine","Ukraine",604000,604000,46800000,46500000,46200000,46000000,45400000,45700000,44900000,45500000,42800000,42800000,44600000,44400000,44000000,150400000,43700000,43500000,39700000,36700000,37800000,38900000,77,77,76,76,75,76,74,75,71,71,74,74,73,249,72,72,66,61,63,64
"ury",189,"Amérique","Uruguay","Uruguay",178000,178000,3300000,3300000,3300000,3400000,3400000,3400000,3400000,3400000,3400000,3600000,3400000,3500000,3500000,3500000,3500000,3500000,3400000,3400000,3300000,3300000,19,19,19,19,19,19,19,19,19,20,19,20,20,20,20,20,19,19,19,19
"vut",190,"Océanie","Vanuatu","Vanuatu",12000,12000,,,,240000,250000,250000,300000,270000,270000,280000,270000,276000,282000,300000,300000,314000,327000,335000,328000,335000,,,,20,21,21,25,22,22,23,22,23,24,25,25,26,27,28,27,28
"ven",191,"Amérique","Venezuela","Venezuela",913000,913000,27000000,27500000,27900000,28400000,29000000,29300000,29900000,29700000,29700000,30600000,31500000,31900000,32300000,28500000,28400000,28700000,28700000,28800000,28400000,28500000,30,30,31,31,32,32,33,33,33,34,35,35,35,31,31,31,31,32,31,31
"vnm",192,"Asie","Vietnam","Viêt-nam",332000,332000,84200000,85100000,86200000,87300000,89000000,87900000,89700000,89700000,89700000,91700000,94400000,95400000,96500000,96500000,97300000,98100000,98200000,89800000,100900000,101500000,254,256,260,263,268,265,270,270,270,276,284,287,291,291,293,295,296,270,304,306
"yem",193,"Asie","Yemen","Yémen",529000,529000,21600000,22400000,22200000,22900000,24300000,23800000,25600000,25200000,25200000,26700000,27500000,28100000,28900000,29200000,29800000,30500000,33700000,34400000,40500000,41700000,41,42,42,43,46,45,48,48,48,50,52,53,55,55,56,58,64,65,77,79
"zmb",194,"Afrique","Zambia","Zambie",753000,753000,11900000,11500000,12200000,12600000,13300000,13500000,13900000,14200000,14200000,15500000,16700000,17200000,17600000,17900000,18300000,18900000,20000000,20500000,21300000,21900000,16,15,16,17,18,18,18,19,19,21,22,23,23,24,24,25,27,27,28,29
"zwe",195,"Afrique","Zimbabwe","Zimbabwe",391000,391000,13100000,13300000,13500000,12500000,12700000,12100000,13000000,13000000,13000000,17400000,16000000,16300000,16900000,16000000,14900000,15000000,16300000,16600000,16600000,16900000,34,34,35,32,32,31,33,33,33,45,41,42,43,41,38,38,42,42,42,43
