"Key","Isolation Index","Island","Country","Territory","ISO_3","ISO_3","ISO_3","Ancien ISO_3","Island or Archipelago","Nearest Island distance","Group distance","Continent","Nearest Continent distance","Area","Area (km²)","Shoreline (km)","Coastal Index","Altitude (m)","Scale","Latitude","Longitude","Population","Alternate Names 1","Alternate Names 2","Alternate Names 3","Alternate Names 4","Alternate Names 5","Alternate Names 6","Alternate Names 7","Alternate Names 8","Ordination PNUE","Ordination Mathematica","Characteristic","Claimed by","Included Islands","Percent Country 1","Percent Country 2","Percent Country 3","Type","Nombre d'identifiants - Ile"
34.,9.486832980505138,"Black Island","Administered under the Antarctic Treaty System by New Zealand","Antarctic Islands","ata","","","","Ross Archipelago",10.,10.,"Antarctica",10.,"Southern region",222.,67.6,0.3045045045045045,1041.,2.5e6,-78.25939,166.27274,0.,"Black","","","","","","","",1929.,10.,"","","","","","","sur la carte",1.
35.,"inc","Boree Islands","Administered under the Antarctic Treaty System by Australia","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region","inc","inc","inc","inc","inc",-67.683,45.333,0.,"","","","","","","","","",85.,"","","","","","","pas sur la carte",1.
36.,"inc","Bowman Island","Administered under the Antarctic Treaty System by Australia","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region",236.2,62.3,0.26375952582557155,286.,2.5e6,-65.2,102.97,0.,"Bowman","","","","","","","",1930.,11.,"","","","","","","sur la carte",1.
37.,"inc","Brabant Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region",977.,25.9,0.026509723643807572,2522.,2.5e6,-64.246,-62.29,0.,"Brabant","","","","","","","",1931.,12.,"","","","","","","sur la carte",1.
38.,"inc","Buckle Island","Administered under the Antarctic Treaty System by New Zealand","Antarctic Islands","ata","","","","Balleny Islands","inc","inc","inc","inc","Southern region",124.,51.4,0.41451612903225804,945.,2.5e6,-66.791865,163.055223,0.,"Buckle","","","","","","","",1932.,13.,"","","","","","","sur la carte",1.
39.,"inc","Burke Island","Administered under the Antarctic Treaty System","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region",355.,82.2,0.23154929577464792,"inc",2.5e6,-73.224,-104.63,0.,"Burke","","","","","","","",1933.,14.,"","","","","","","sur la carte",1.
40.,"inc","Carney Island","Administered under the Antarctic Treaty System","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region",8500.,"inc","inc","inc","inc",-73.998,-120.88,0.,"","","","","","","","",1934.,15.,"","","","","","","sur la carte",1.
41.,"inc","Charcot Island","Administered under the Antarctic Treaty System by Chile and United Kingdom","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region",2576.,"inc","inc","inc","inc",-69.75,-75.25,0.,"","","","","","","","",1935.,16.,"","","","","","","sur la carte",1.
42.,"inc","Chiprovtsi Point","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","South Shetland Islands","inc","inc","inc","inc","Southern region","inc","inc","inc","inc","inc",-62.617028,-61.264528,0.,"","","","","","","","","",17.,"","","","","","","pas sur la carte",1.
43.,37.72625656824586,"Clarence Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","South Shetland Islands",30.,260.,"Antarctica",260.,"Southern region",162.,61.9,0.38209876543209875,2300.,2.5e6,-61.202,-54.0946,0.,"","","","","","","","",1936.,18.,"","","","","","","sur la carte",1.
44.,"inc","Close Island","Administered under the Antarctic Treaty System by Australia","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region","inc","inc","inc","inc","inc",-67.017,144.45,0.,"","","","","","","","","",86.,"","","","","","","pas sur la carte",1.
45.,"inc","Cormorant Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","Palmer Archipelago","inc","inc","inc","inc","Southern region",0.1,"inc","inc","inc","inc",-64.8,-63.966667,0.,"","","","","","","","","",19.,"","","","","","","pas sur la carte",1.
46.,"inc","Cornwallis Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","South Shetland Islands","inc","inc","inc","inc","Southern region","inc","inc","inc","inc","inc",-61.066667,-54.466667,0.,"Michailoff's Island","","","","","","","","",20.,"","","","","","","pas sur la carte",1.
47.,53.06083357276309,"Coronation Island","Administered under the Antarctic Treaty System by Argentina and United Kingdom","Antarctic Islands","ata","","","","South Orkney Islands",18.,500.,"Antarctica",700.,"Southern region",450.,"inc","inc",1278.,"inc",-60.61,-45.71,0.,"Coronation","","","","","","","",1937.,21.,"","","Monroe, Robertson, and Lynch","","","","sur la carte",1.
